0.1044985023564 0.2980030370462 -0.5797856717868   0.6542232056258 -0.2607920165875   -0.003766290426965 -0.2102709759988   -0.410163006616 -0.1178106991546   
0.3134955070693 0.3200833234754 -0.4142709563314   0.5493851673286 -0.344533317094   0.04430490346081 -0.3516758791696   -0.344752582909 -0.2284808386726   
0.5224925117821 0.2784581584431 -0.3595965345819   0.4241966777136 -0.3672304009677   0.04151702127831 -0.3840648350136   -0.2773294140968 -0.2872829318409   
0.731489516495 0.2392940504584 -0.3263850796999   0.3329036527781 -0.3556636993199   0.03198773718219 -0.3835803171817   -0.222307324518 -0.3129404306142   
0.9404865212078 0.208078685917 -0.3024212022153   0.270022979265 -0.3337527095774   0.02359263324777 -0.3705712629065   -0.1798019737495 -0.3197003777566   
1.149483525921 0.1828511521456 -0.2833110524405   0.2257609287887 -0.3112671931616   0.01698714137478 -0.3529849363698   -0.1474475259505 -0.3162148741905   
1.358480530634 0.1622545931241 -0.2670997579362   0.1935171025633 -0.2904871778957   0.01204217337708 -0.3342520934691   -0.1227353741105 -0.3075110299395   
1.567477535346 0.1451740144257 -0.2529541183733   0.1691658111867 -0.2719771061725   0.008421123622114 -0.315798458038   -0.1037051257088 -0.2962848341015   
1.776474540059 0.1307671485016 -0.2404301742687   0.1501460536794 -0.2557375539386   0.005777064404216 -0.2982627095275   -0.08889808770543 -0.2840353201273   
1.985471544772 0.1184502252984 -0.2292200840857   0.1348529879955 -0.2415220209633   0.003828845466703 -0.281937491657   -0.07723593079843 -0.2716233830103   
2.194468549485 0.1078231397289 -0.2190883227105   0.1222600341058 -0.2290091821524   0.002371434134561 -0.2669256454097   -0.06792488941001 -0.2595342813128   
2.403465554198 0.09859798570534 -0.209855034922   0.1116908046346 -0.217896165466   0.001262281712987 -0.2532148840241   -0.06038364706028 -0.2480207943778   
2.612462558911 0.09055248816605 -0.2013852100979   0.1026836826146 -0.2079341029674   0.0004039736273939 -0.2407268907354   -0.05418787603803 -0.2371931847777   
2.821459563624 0.08350504837639 -0.1935775138386   0.094911879763 -0.1989311550157   -0.0002700830145764 -0.2293519695412   -0.04902771204917 -0.2270784082459   
3.030456568336 0.0773028317328 -0.1863541458355   0.0881360117557 -0.1907423249294   -0.0008058932537304 -0.218971790678   -0.04467580313921 -0.2176582896199   
3.239453573049 0.0718162028641 -0.1796529972187   0.08217551250241 -0.183256786705   -0.001235759221452 -0.2094725786923   -0.04096386711295 -0.2088929470583   
3.448450577762 0.06693567347909 -0.1734222879087   0.07689094250363 -0.1763871954344   -0.001582800685891 -0.2007514883061   -0.03776583903823 -0.2007342803498   
3.657447582475 0.06256958581111 -0.1676172335783   0.07217264866412 -0.1700620637487   -0.001863908755106 -0.1927186826162   -0.03498593444196 -0.193133147657   
3.866444587188 0.05864189716582 -0.1621981275035   0.06793319672079 -0.1642208516306   -0.00209168687656 -0.1852970300793   -0.0325502680794 -0.1860427798199   
4.075441591901 0.05508995420296 -0.1571292976288   0.06410211090281 -0.1588110147755   -0.002275740181027 -0.1784206986887   -0.03040098583495 -0.1794201034054   
4.284438596613 0.05186232979657 -0.1523785480778   0.06062207971705 -0.1537862997273   -0.002423542679897 -0.1720334079478   -0.02849214490222 -0.1732259977583   
4.493435601326 0.04891682324982 -0.1479168361607   0.057446134982 -0.1491057552061   -0.00254102754641 -0.1660867379216   -0.02678679851788 -0.1674250744865   
4.702432606039 0.04621869542567 -0.143718043287   0.05453550607016 -0.1447331140752   -0.002632993293375 -0.1605386687907   -0.02525490759219 -0.1619852924329   
4.911429610752 0.04373917049984 -0.1397587692955   0.05185796148216 -0.1406363441839   -0.002703386056259 -0.1553523969017   -0.0238718210605 -0.1568775584718   
5.120426615465 0.04145420341275 -0.1360181220549   0.04938651345977 -0.1367872633466   -0.002755497710628 -0.1504954098766   -0.02261715017535 -0.1520753746841   
5.329423620178 0.03934349106241 -0.1324774967001   0.04709839937627 -0.1331611726507   -0.002792106496414 -0.1459387778811   -0.02147391902226 -0.1475545469625   
