0.1044985023564 25.86982993351 -0.04490993280696   25.65739930253 -0.04494448692073   27.67652216129 -0.03463899074012   27.97120033594 -0.03857943338113   
0.3134955070693 25.86529238908 -0.1232354607388   25.64346724115 -0.12818159492   27.67917861408 -0.0979111933596   27.98312967836 -0.1087848205546   
0.5224925117821 25.85775177983 -0.1935662361664   25.62335766564 -0.1993128928018   27.68145635342 -0.1545525734598   27.99960347209 -0.1700272429921   
0.731489516495 25.84338293468 -0.2601359670843   25.59958657975 -0.2670381149458   27.68323068725 -0.2068444432481   28.01807728375 -0.2240935913305   
0.9404865212078 25.82983407285 -0.3157351113332   25.57244288487 -0.3264154498547   27.68336872598 -0.2522791587164   28.03567958387 -0.2703742517413   
1.149483525921 25.81255555662 -0.371239351359   25.54311730015 -0.3852544655808   27.6838129936 -0.2966531324272   28.053512703 -0.3143721027265   
1.358480530634 25.79374792198 -0.4214575195007   25.5115656631 -0.4345280483726   27.6826898924 -0.3360939259021   28.07023311988 -0.3532152909178   
1.567477535346 25.77459256387 -0.4657743336059   25.47957331907 -0.4757789264901   27.68078414637 -0.3711682052505   28.0856145317 -0.3878988341761   
1.776474540059 25.75519133142 -0.5060286776439   25.44855752537 -0.5135611826417   27.6791738035 -0.4037859118583   28.10004468103 -0.4203163117819   
1.985471544772 25.73540468574 -0.5436151103513   25.41857422287 -0.5503254609971   27.67816804668 -0.4350581784588   28.1140739697 -0.4514186688903   
2.194468549485 25.71518442199 -0.5789314103359   25.3888848517 -0.5861820462625   27.67749371753 -0.4651396961106   28.12814872193 -0.4812282271963   
2.403465554198 25.69460008173 -0.6118046245456   25.3587316382 -0.6201659995834   27.67671923591 -0.4937025411356   28.14250164461 -0.5093573680079   
2.612462558911 25.67378269045 -0.641958125377   25.3277391583 -0.651269775299   27.67552228617 -0.5203551338331   28.15715955841 -0.5354120972356   
2.821459563624 25.65287454609 -0.669258821314   25.29596006111 -0.6789063882946   27.67377355675 -0.5448529008663   28.17200941228 -0.5591745171857   
3.030456568336 25.63200170333 -0.693774247804   25.26374221034 -0.7029694561507   27.67151106009 -0.5671452312988   28.18687385934 -0.5806285934094   
3.239453573049 25.61126370395 -0.7157292928098   25.23155868182 -0.7237096370993   27.66887480585 -0.5873372416278   28.2015703734 -0.5999111049365   
3.448450577762 25.59073300957 -0.7354323194677   25.19987192032 -0.7415710575132   27.66604273571 -0.6056251747778   28.21594665989 -0.6172437490907   
3.657447582475 25.57045900514 -0.7532083452336   25.16905249008 -0.7570548763764   27.66318454841 -0.6222373410969   28.22989540615 -0.6328746230368   
3.866444587188 25.55047361163 -0.7693532481555   25.13934672506 -0.7706295032532   27.66043577697 -0.6373926699762   28.24335494076 -0.6470385326189   
4.075441591901 25.53079687037 -0.784109829299   25.1108784394 -0.782684077661   27.65788817711 -0.6512777790978   28.25630217152 -0.6599356749759   
4.284438596613 25.5114416548 -0.7976609860463   25.08366966499 -0.7935138127268   27.65559089029 -0.6640386711437   28.26874255048 -0.6717243320743   
4.493435601326 25.49241717876 -0.8101339798367   25.05766878369 -0.8033251678947   27.65355745619 -0.675782041914   28.28070002787 -0.6825225608994   
4.702432606039 25.47373129815 -0.8216105341143   25.03277850498 -0.8122511235293   27.6517750783 -0.6865817936706   28.29220852517 -0.6924146614475   
4.911429610752 25.45539178791 -0.8321389148001   25.00887962043 -0.8203698097617   27.65021387103 -0.6964875230343   28.30330548567 -0.701459404183   
5.120426615465 25.4374068512 -0.8417455551228   24.9858489598 -0.827722399961   27.64883486268 -0.7055329220872   28.31402748669 -0.709698123959   
5.329423620178 25.41978511812 -0.85044492137   24.96357152309 -0.8343281896312   27.64759625293 -0.7137429721571   28.32440761177 -0.7171616669964   
5.538420624891 25.40253535166 -0.8582471131661   24.94194758155 -0.8401961294489   27.64645787157 -0.7211394706059   28.33447417824 -0.7238757830635   
5.747417629603 25.38566602451 -0.8651631928769   24.92089585916 -0.8453328860923   27.64538403001 -0.7277448505618   28.34425042055 -0.7298649351521   
5.956414634316 25.36918487775 -0.87120851271   24.90035392335 -0.849747915982   27.64434506386 -0.7335844852618   28.35375478461 -0.7351547053208   
6.165411639029 25.35309852862 -0.8764044251956   24.88027677427 -0.8534561884867   27.64331788783 -0.7386877724181   28.36300156359 -0.7397730669977   
6.374408643742 25.33741216219 -0.8807787837222   24.86063442014 -0.8564791961838   27.64228585938 -0.7430883162028   28.37200167957 -0.7437508119855   
6.583405648455 25.32212931938 -0.8843656038538   24.84140902002 -0.8588448098693   27.64123820076 -0.7468234988094   28.38076347981 -0.7471213964785   
6.792402653168 25.30725177936 -0.8872041974842   24.82259199138 -0.8605864288376   27.64016917563 -0.7499336871563   28.38929346787 -0.7499204281827   
7.001399657881 25.29277952693 -0.8893380237345   24.80418133176 -0.8617417647712   27.63907716531 -0.7524612653808   28.39759692768 -0.7521849673812   
7.210396662593 25.2787107908 -0.8908134374382   24.7861792913 -0.8623514994227   27.63796374519 -0.7544496320344   28.40567842525 -0.7539527684084   
7.419393667306 25.26504213783 -0.8916784603912   24.76859045318 -0.8624579745566   27.63683282571 -0.755942255354   28.41354218962 -0.7552615474495   
7.628390672019 25.25176860866 -0.8919816558432   24.75142022566 -0.8621040102147   27.63568989463 -0.75698184334   28.42119238459 -0.756148329858   
7.837387676732 25.23888388091 -0.8917711523758   24.73467371666 -0.8613319017191   27.63454137729 -0.7576096577716   28.42863328775 -0.7566489056953   
8.046384681445 25.22638044881 -0.891093837118   24.71835494425 -0.860182613206   27.63339411722 -0.7578649804283   28.43586939464 -0.7567974034518   
8.255381686158 25.21424980911 -0.8899947210558   24.70246632888 -0.8586951650762   27.63225497107 -0.7577847267862   28.44290546549 -0.7566259803338   
8.464378690871 25.20248264575 -0.88851646753   24.68700841256 -0.8569062001351   27.63113050613 -0.7574031938559   28.44974652983 -0.7561646195791   
8.673375695583 25.19106900733 -0.8866990674636   24.67197975411 -0.8548497056736   27.63002678656 -0.7567519241158   28.45639786226 -0.7554410210284   
8.882372700296 25.17999847297 -0.8845796419469   24.65737695506 -0.8525568668421   27.62894923358 -0.7558596660143   28.46286493989 -0.754480569519   
9.091369705009 25.16926030384 -0.8821923513337   24.64319477793 -0.8500560261993   27.62790254546 -0.754752411568   28.46915338991 -0.7533063655664   
9.300366709722 25.15884357853 -0.879568390487   24.62942632504 -0.8473727259757   27.62689066438 -0.7534534928537   28.47526893326 -0.7519393036822   
9.509363714435 25.14873731161 -0.8767360513578   24.61606325317 -0.8445298121684   27.62591677885 -0.7519837212607   28.48121732908 -0.7503981852833   
9.718360719148 25.13893055538 -0.8737208361494   24.60309600421 -0.8415475825191   27.62498335202 -0.750361555684   28.48700432269 -0.7486998550051   
9.927357723861 25.12941248541 -0.8705456064443   24.59051403795 -0.8384439632247   27.62409216793 -0.74860328808   28.49263559916 -0.7468593510291   
10.13635472857 25.12017247082 -0.8672307563339   24.57830605641 -0.8352347024274   27.62324438919 -0.7467232372953   28.49811674329 -0.7448900620824   
10.34535173329 25.11120013058 -0.8637943993163   24.56646021288 -0.8319335706089   27.62244062125 -0.7447339437188   28.50345320649 -0.7428038850344   
10.554348738 25.10248537723 -0.8602525612491   24.55496430157 -0.8285525607754   27.62168097908 -0.7426463595093   28.50865028036 -0.7406113788979   
10.76334574271 25.09401844941 -0.8566193729756   24.54380592542 -0.825102082776   27.62096515376 -0.7404700302925   28.51371307659 -0.7383219118859   
10.97234274742 25.08578993478 -0.8529072581222   24.5329726415 -0.8215911480675   27.62029247648 -0.7382132657257   28.51864651276 -0.7359437994532   
11.18133975214 25.07779078464 -0.849127112667   24.52245208425 -0.8180275423062   27.61966197902 -0.7358832972433   28.52345530308 -0.7334844319848   
11.39033675685 25.07001232153 -0.8452884739752   24.51223206771 -0.8144179842557   27.61907244941 -0.7334864220531   28.52814395363 -0.7309503913729   
11.59933376156 25.06244624114 -0.8413996778925   24.50230066832 -0.8107682702953   27.6185224825 -0.7310281331646   28.53271676125 -0.728347556351   
11.80833076628 25.05508460949 -0.8374680031156   24.49264629012 -0.8070834044008   27.6180105252 -0.7285132356103   28.53717781545 -0.7256811967149   
12.01732777099 25.04791985642 -0.8334998026488   24.48325771434 -0.8033677139714   27.61753491644 -0.7259459494132   28.54153100272 -0.7229560569023   
12.2263247757 25.04094476615 -0.8295006224336   24.47412413534 -0.7996249520692   27.61709392192 -0.7233300000009   28.54578001277 -0.7201764294972   
12.43532178041 25.03415246575 -0.8254753076387   24.46523518493 -0.7958583869672   27.61668576405 -0.7206686969954   28.54992834602 -0.7173462194289   
12.64431878513 25.02753641195 -0.8214280972738   24.45658094662 -0.7920708800089   27.6163086475 -0.717965002365   28.55397932227 -0.7144689996626   
12.85331578984 25.021090377 -0.8173627078024   24.44815196181 -0.7882649527219   27.61596078047 -0.7152215888714   28.5579360898 -0.7115480591358   
13.06231279455 25.01480843385 -0.8132824066849   24.43993922909 -0.7844428443275   27.61564039242 -0.7124408898822   28.56180163492 -0.7085864438088   
13.27130979927 25.00868494107 -0.8091900766839   24.43193419816 -0.7806065606417   27.61534574845 -0.7096251414763   28.56557879169 -0.7055869915735   
13.48030680398 25.00271452778 -0.805088271752   24.42412875959 -0.7767579153106   27.61507516077 -0.7067764177215   28.56927025138 -0.7025523617261   
13.68930380869 24.99689207862 -0.800979265625   24.41651523074 -0.7728985645599   27.61482699757 -0.7038966601639   28.57287857199 -0.6994850598401   
13.8983008134 24.99121271969 -0.7968650928253   24.40908634143 -0.7690300352703   27.61459969009 -0.7009877015927   28.57640618698 -0.6963874580879   
14.10729781812 24.98567180316 -0.7927475869222   24.40183521042 -0.7651537511376   27.61439173626 -0.6980512873531   28.57985541487 -0.6932618136126   
14.31629482283 24.98026489784 -0.7886284030275   24.39475534434 -0.7612710440355   27.61420170775 -0.6950890864166   28.58322846458 -0.6901102787435   
14.52529182754 24.97498776545 -0.7845090670145   24.38784056905 -0.7573831933217   27.61402824136 -0.6921027181334   28.58652745083 -0.686934923883   
14.73428883226 24.96983637508 -0.7803909366632   24.38108513237 -0.7534913755678   27.61387006575 -0.6890937261055   28.58975438269 -0.6837377172876   
14.94328583697 24.96480683478 -0.7762753618774   24.37448341379 -0.7495968239841   27.61372594414 -0.686063668893   28.59291121051 -0.6805206018779   
15.15228284168 24.95989548644 -0.7721634071762   24.36803043148 -0.745700519576   27.61359478437 -0.6830139578038   28.5959997562 -0.6772853576725   
15.36127984639 24.95509873164 -0.7680563943191   24.36172094229 -0.7418037866302   27.6134754504 -0.6799461563358   28.5990218408 -0.6740338677472   
