  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   0    0    0       0    0    0       1    1      0.00000000000000 2774.04568653835713
   0    0    1       0    0    1       1    1      2.48549001633649  16.67402298302050
   0    0   -1       0    0   11       1    1      2.48549001633649  16.67402298302050
   0    1    0       0    1    0       1    1      2.48549001633649  16.67402298302050
   0   -1    0       0   11    0       1    1      2.48549001633649  16.67402298302050
   1    0    0       1    0    0       1    1      2.48549001633649  16.67402298302048
   1    1    1       1    1    1       1    1      2.48549001633649  16.67402298302051
  -1    0    0      11    0    0       1    1      2.48549001633649  16.67402298302048
  -1   -1   -1      11   11   11       1    1      2.48549001633649  16.67402298302051
   0    1    1       0    1    1       1    1      2.86999666000000   8.70155220072142
   0   -1   -1       0   11   11       1    1      2.86999666000000   8.70155220072142
   1    0    1       1    0    1       1    1      2.86999666000000   8.70155220072141
   1    1    0       1    1    0       1    1      2.86999666000000   8.70223518012319
  -1    0   -1      11    0   11       1    1      2.86999666000000   8.70155220072141
  -1   -1    0      11   11    0       1    1      2.86999666000000   8.70223518012319
   0    1   -1       0    1   11       1    1      4.05878820053748   0.25408475432611
   0   -1    1       0   11    1       1    1      4.05878820053748   0.25408475432611
   1    0   -1       1    0   11       1    1      4.05878820053748   0.25408475432612
   1    1    2       1    1    2       1    1      4.05878820053748   0.25419180469971
   1    2    1       1    2    1       1    1      4.05878820053748   0.25408475432611
   1   -1    0       1   11    0       1    1      4.05878820053748   0.25419180469971
   2    1    1       2    1    1       1    1      4.05878820053748   0.25408475432611
  -2   -1   -1      10   11   11       1    1      4.05878820053748   0.25408475432611
  -1    0    1      11    0    1       1    1      4.05878820053748   0.25408475432612
  -1    1    0      11    1    0       1    1      4.05878820053748   0.25419180469971
  -1   -2   -1      11   10   11       1    1      4.05878820053748   0.25408475432611
  -1   -1   -2      11   11   10       1    1      4.05878820053748   0.25419180469971
   1    1   -1       1    1   11       1    1      4.75935103539660  -1.31262076841962
   1    2    0       1    2    0       1    1      4.75935103539660  -1.31262076841962
   2    1    0       2    1    0       1    1      4.75935103539660  -1.31262076841963
   2    2    1       2    2    1       1    1      4.75935103539660  -1.31262076841963
  -2   -2   -1      10   10   11       1    1      4.75935103539660  -1.31262076841963
  -2   -1    0      10   11    0       1    1      4.75935103539660  -1.31262076841963
  -1   -2    0      11   10    0       1    1      4.75935103539660  -1.31262076841962
  -1   -1    1      11   11    1       1    1      4.75935103539660  -1.31262076841962
   0    1    2       0    1    2       1    1      4.75935103539660  -1.31247956096499
   0    2    1       0    2    1       1    1      4.75935103539660  -1.31247041444122
   0   -2   -1       0   10   11       1    1      4.75935103539660  -1.31247041444122
   0   -1   -2       0   11   10       1    1      4.75935103539660  -1.31247956096499
   1    0    2       1    0    2       1    1      4.75935103539660  -1.31247041444122
   1    2    2       1    2    2       1    1      4.75935103539660  -1.31247956096499
   1   -1    1       1   11    1       1    1      4.75935103539660  -1.31247956096499
   1   -1   -1       1   11   11       1    1      4.75935103539660  -1.31247041444122
   2    0    1       2    0    1       1    1      4.75935103539660  -1.31247956096499
   2    1    2       2    1    2       1    1      4.75935103539660  -1.31247041444122
  -2    0   -1      10    0   11       1    1      4.75935103539660  -1.31247956096499
  -2   -1   -2      10   11   10       1    1      4.75935103539660  -1.31247041444122
  -1    0   -2      11    0   10       1    1      4.75935103539660  -1.31247041444122
  -1    1    1      11    1    1       1    1      4.75935103539660  -1.31247041444122
  -1    1   -1      11    1   11       1    1      4.75935103539660  -1.31247956096499
  -1   -2   -2      11   10   10       1    1      4.75935103539660  -1.31247956096499
   0    0    2       0    0    2       1    1      4.97098003267298  -1.27532143773367
   0    0   -2       0    0   10       1    1      4.97098003267298  -1.27532143773367
   0    2    0       0    2    0       1    1      4.97098003267298  -1.27532143773369
   0   -2    0       0   10    0       1    1      4.97098003267298  -1.27532143773369
   2    0    0       2    0    0       1    1      4.97098003267298  -1.27532143773368
   2    2    2       2    2    2       1    1      4.97098003267298  -1.27532143773367
  -2    0    0      10    0    0       1    1      4.97098003267298  -1.27532143773368
  -2   -2   -2      10   10   10       1    1      4.97098003267298  -1.27532143773367
   0    2    2       0    2    2       1    1      5.73999332000000   0.93946906604977
   0   -2   -2       0   10   10       1    1      5.73999332000000   0.93946906604977
   2    0    2       2    0    2       1    1      5.73999332000000   0.93946906604977
   2    2    0       2    2    0       1    1      5.73999332000000   0.93896923408051
  -2    0   -2      10    0   10       1    1      5.73999332000000   0.93946906604977
  -2   -2    0      10   10    0       1    1      5.73999332000000   0.93896923408051
   0    1   -2       0    1   10       1    1      6.25501270461963  -0.15898371079016
   0    2   -1       0    2   11       1    1      6.25501270461963  -0.15899625657799
   0   -2    1       0   10    1       1    1      6.25501270461963  -0.15899625657799
   0   -1    2       0   11    2       1    1      6.25501270461963  -0.15898371079016
   1    0   -2       1    0   10       1    1      6.25501270461963  -0.15899625657798
   1    1    3       1    1    3       1    1      6.25501270461963  -0.15922463730229
   1    3    1       1    3    1       1    1      6.25501270461963  -0.15898371079016
   1   -2    0       1   10    0       1    1      6.25501270461963  -0.15922463730229
   2    0   -1       2    0   11       1    1      6.25501270461963  -0.15898371079016
   2    2    3       2    2    3       1    1      6.25501270461963  -0.15922463730230
   2    3    2       2    3    2       1    1      6.25501270461963  -0.15899625657798
   2   -1    0       2   11    0       1    1      6.25501270461963  -0.15922463730229
   3    1    1       3    1    1       1    1      6.25501270461963  -0.15899625657799
   3    2    2       3    2    2       1    1      6.25501270461963  -0.15898371079016
  -3   -2   -2       9   10   10       1    1      6.25501270461963  -0.15898371079016
  -3   -1   -1       9   11   11       1    1      6.25501270461963  -0.15899625657799
  -2    0    1      10    0    1       1    1      6.25501270461963  -0.15898371079016
  -2    1    0      10    1    0       1    1      6.25501270461963  -0.15922463730229
  -2   -3   -2      10    9   10       1    1      6.25501270461963  -0.15899625657798
  -2   -2   -3      10   10    9       1    1      6.25501270461963  -0.15922463730230
  -1    0    2      11    0    2       1    1      6.25501270461963  -0.15899625657798
  -1    2    0      11    2    0       1    1      6.25501270461963  -0.15922463730229
  -1   -3   -1      11    9   11       1    1      6.25501270461963  -0.15898371079016
  -1   -1   -3      11   11    9       1    1      6.25501270461963  -0.15922463730229
   1    2    3       1    2    3       1    1      6.41750762695735   0.21955852789691
   1    2   -1       1    2   11       1    1      6.41750762695735   0.21966404599072
   1    3    2       1    3    2       1    1      6.41750762695735   0.21951446811623
   1   -2   -1       1   10   11       1    1      6.41750762695735   0.21930412854442
   1   -1    2       1   11    2       1    1      6.41750762695735   0.21951446811623
   1   -1   -2       1   11   10       1    1      6.41750762695735   0.21951446811623
   2    1    3       2    1    3       1    1      6.41750762695735   0.21930412854442
   2    1   -1       2    1   11       1    1      6.41750762695735   0.21966404599072
   2    3    1       2    3    1       1    1      6.41750762695735   0.21966404599072
   2   -1    1       2   11    1       1    1      6.41750762695735   0.21955852789691
   3    1    2       3    1    2       1    1      6.41750762695735   0.21951446811623
   3    2    1       3    2    1       1    1      6.41750762695735   0.21966404599072
  -3   -2   -1       9   10   11       1    1      6.41750762695735   0.21966404599072
  -3   -1   -2       9   11   10       1    1      6.41750762695735   0.21951446811623
  -2    1   -1      10    1   11       1    1      6.41750762695735   0.21955852789691
  -2   -3   -1      10    9   11       1    1      6.41750762695735   0.21966404599072
  -2   -1    1      10   11    1       1    1      6.41750762695735   0.21966404599072
  -2   -1   -3      10   11    9       1    1      6.41750762695735   0.21930412854442
  -1    1    2      11    1    2       1    1      6.41750762695735   0.21951446811623
  -1    1   -2      11    1   10       1    1      6.41750762695735   0.21951446811623
  -1    2    1      11    2    1       1    1      6.41750762695735   0.21930412854442
  -1   -3   -2      11    9   10       1    1      6.41750762695735   0.21951446811623
  -1   -2    1      11   10    1       1    1      6.41750762695735   0.21966404599072
  -1   -2   -3      11   10    9       1    1      6.41750762695735   0.21955852789691
   0    1    3       0    1    3       1    1      7.03002738049198  -0.53122887312374
   0    3    1       0    3    1       1    1      7.03002738049198  -0.53123476304005
   0   -3   -1       0    9   11       1    1      7.03002738049198  -0.53123476304005
   0   -1   -3       0   11    9       1    1      7.03002738049198  -0.53122887312374
   1    0    3       1    0    3       1    1      7.03002738049198  -0.53123476304005
   1    1   -2       1    1   10       1    1      7.03002738049198  -0.53096800952438
   1    3    0       1    3    0       1    1      7.03002738049198  -0.53096800952438
   1   -2    1       1   10    1       1    1      7.03002738049198  -0.53122887312374
   2    3    3       2    3    3       1    1      7.03002738049198  -0.53122887312374
   2   -1   -1       2   11   11       1    1      7.03002738049198  -0.53123476304005
   3    0    1       3    0    1       1    1      7.03002738049198  -0.53122887312374
   3    1    0       3    1    0       1    1      7.03002738049198  -0.53096800952437
   3    2    3       3    2    3       1    1      7.03002738049198  -0.53123476304005
   3    3    2       3    3    2       1    1      7.03002738049198  -0.53096800952437
  -3    0   -1       9    0   11       1    1      7.03002738049198  -0.53122887312374
  -3   -3   -2       9    9   10       1    1      7.03002738049198  -0.53096800952437
  -3   -2   -3       9   10    9       1    1      7.03002738049198  -0.53123476304005
  -3   -1    0       9   11    0       1    1      7.03002738049198  -0.53096800952437
  -2    1    1      10    1    1       1    1      7.03002738049198  -0.53123476304005
  -2   -3   -3      10    9    9       1    1      7.03002738049198  -0.53122887312374
  -1    0   -3      11    0    9       1    1      7.03002738049198  -0.53123476304005
  -1    2   -1      11    2   11       1    1      7.03002738049198  -0.53122887312374
  -1   -3    0      11    9    0       1    1      7.03002738049198  -0.53096800952438
  -1   -1    2      11   11    2       1    1      7.03002738049198  -0.53096800952438
   0    0    3       0    0    3       1    1      7.45647004900947   1.54938197835550
   0    0   -3       0    0    9       1    1      7.45647004900947   1.54938197835550
   0    3    0       0    3    0       1    1      7.45647004900947   1.54938197835550
   0   -3    0       0    9    0       1    1      7.45647004900947   1.54938197835550
   3    0    0       3    0    0       1    1      7.45647004900947   1.54938197835550
   3    3    3       3    3    3       1    1      7.45647004900947   1.54938197835549
  -3    0    0       9    0    0       1    1      7.45647004900947   1.54938197835550
  -3   -3   -3       9    9    9       1    1      7.45647004900947   1.54938197835549
   0    2    3       0    2    3       1    1      7.45647004900947   0.66421750985379
   0    3    2       0    3    2       1    1      7.45647004900947   0.66422260312624
   0   -3   -2       0    9   10       1    1      7.45647004900947   0.66422260312624
   0   -2   -3       0   10    9       1    1      7.45647004900947   0.66421750985379
   1    3    3       1    3    3       1    1      7.45647004900947   0.66421750985379
   1   -2   -2       1   10   10       1    1      7.45647004900947   0.66422260312624
   2    0    3       2    0    3       1    1      7.45647004900947   0.66422260312624
   2    2   -1       2    2   11       1    1      7.45647004900947   0.66417267674967
   2    3    0       2    3    0       1    1      7.45647004900947   0.66417267674967
   2   -1    2       2   11    2       1    1      7.45647004900947   0.66421750985379
   3    0    2       3    0    2       1    1      7.45647004900947   0.66421750985379
   3    1    3       3    1    3       1    1      7.45647004900947   0.66422260312624
   3    2    0       3    2    0       1    1      7.45647004900947   0.66417267674967
   3    3    1       3    3    1       1    1      7.45647004900947   0.66417267674967
  -3    0   -2       9    0   10       1    1      7.45647004900947   0.66421750985379
  -3   -3   -1       9    9   11       1    1      7.45647004900947   0.66417267674967
  -3   -2    0       9   10    0       1    1      7.45647004900947   0.66417267674967
  -3   -1   -3       9   11    9       1    1      7.45647004900947   0.66422260312624
  -2    0   -3      10    0    9       1    1      7.45647004900947   0.66422260312624
  -2    1   -2      10    1   10       1    1      7.45647004900947   0.66421750985379
  -2   -3    0      10    9    0       1    1      7.45647004900947   0.66417267674967
  -2   -2    1      10   10    1       1    1      7.45647004900947   0.66417267674967
  -1    2    2      11    2    2       1    1      7.45647004900947   0.66422260312624
  -1   -3   -3      11    9    9       1    1      7.45647004900947   0.66421750985379
   0    2   -2       0    2   10       1    1      8.11757640107497  -0.01893598187979
   0   -2    2       0   10    2       1    1      8.11757640107497  -0.01893598187979
   2    0   -2       2    0   10       1    1      8.11757640107497  -0.01893598187979
   2    2    4       2    2    4       1    1      8.11757640107497  -0.01916493658509
   2    4    2       2    4    2       1    1      8.11757640107497  -0.01893598187979
   2   -2    0       2   10    0       1    1      8.11757640107497  -0.01916493658509
   4    2    2       4    2    2       1    1      8.11757640107497  -0.01893598187979
  -4   -2   -2       8   10   10       1    1      8.11757640107497  -0.01893598187979
  -2    0    2      10    0    2       1    1      8.11757640107497  -0.01893598187979
  -2    2    0      10    2    0       1    1      8.11757640107497  -0.01916493658509
  -2   -4   -2      10    8   10       1    1      8.11757640107497  -0.01893598187979
  -2   -2   -4      10   10    8       1    1      8.11757640107497  -0.01916493658509
   1    2    4       1    2    4       1    1      8.48956460889471  -0.05450440236948
   1    2   -2       1    2   10       1    1      8.48956460889471  -0.05454963991738
   1    3   -1       1    3   11       1    1      8.48956460889471  -0.05452431786197
   1    4    2       1    4    2       1    1      8.48956460889471  -0.05446839332685
   1   -3   -1       1    9   11       1    1      8.48956460889471  -0.05447553238619
   1   -2    2       1   10    2       1    1      8.48956460889471  -0.05445191758891
   1   -1    3       1   11    3       1    1      8.48956460889471  -0.05446839332685
   1   -1   -3       1   11    9       1    1      8.48956460889471  -0.05445191758891
   2    1    4       2    1    4       1    1      8.48956460889471  -0.05447553238619
   2    1   -2       2    1   10       1    1      8.48956460889471  -0.05452431786197
   2    3    4       2    3    4       1    1      8.48956460889471  -0.05450440236948
   2    4    1       2    4    1       1    1      8.48956460889471  -0.05454963991738
   2    4    3       2    4    3       1    1      8.48956460889471  -0.05445191758892
   2   -2    1       2   10    1       1    1      8.48956460889471  -0.05450440236948
   2   -2   -1       2   10   11       1    1      8.48956460889471  -0.05447553238619
   2   -1   -2       2   11   10       1    1      8.48956460889471  -0.05446839332685
   3    1   -1       3    1   11       1    1      8.48956460889471  -0.05454963991738
   3    2    4       3    2    4       1    1      8.48956460889471  -0.05447553238619
   3   -1    1       3   11    1       1    1      8.48956460889471  -0.05450440236948
   4    1    2       4    1    2       1    1      8.48956460889471  -0.05445191758891
   4    2    1       4    2    1       1    1      8.48956460889471  -0.05452431786197
   4    2    3       4    2    3       1    1      8.48956460889471  -0.05446839332685
  -4   -2   -3       8   10    9       1    1      8.48956460889471  -0.05446839332685
  -4   -2   -1       8   10   11       1    1      8.48956460889471  -0.05452431786197
  -4   -1   -2       8   11   10       1    1      8.48956460889471  -0.05445191758891
  -3    1   -1       9    1   11       1    1      8.48956460889471  -0.05450440236948
  -3   -2   -4       9   10    8       1    1      8.48956460889471  -0.05447553238619
  -3   -1    1       9   11    1       1    1      8.48956460889471  -0.05454963991738
  -2    1    2      10    1    2       1    1      8.48956460889471  -0.05446839332685
  -2    2    1      10    2    1       1    1      8.48956460889471  -0.05447553238619
  -2    2   -1      10    2   11       1    1      8.48956460889471  -0.05450440236948
  -2   -4   -3      10    8    9       1    1      8.48956460889471  -0.05445191758892
  -2   -4   -1      10    8   11       1    1      8.48956460889471  -0.05454963991738
  -2   -3   -4      10    9    8       1    1      8.48956460889471  -0.05450440236948
  -2   -1    2      10   11    2       1    1      8.48956460889471  -0.05452431786197
  -2   -1   -4      10   11    8       1    1      8.48956460889471  -0.05447553238619
  -1    1    3      11    1    3       1    1      8.48956460889471  -0.05445191758892
  -1    1   -3      11    1    9       1    1      8.48956460889471  -0.05446839332685
  -1    2   -2      11    2   10       1    1      8.48956460889471  -0.05445191758891
  -1    3    1      11    3    1       1    1      8.48956460889471  -0.05447553238619
  -1   -4   -2      11    8   10       1    1      8.48956460889471  -0.05446839332685
  -1   -3    1      11    9    1       1    1      8.48956460889471  -0.05452431786197
  -1   -2    2      11   10    2       1    1      8.48956460889471  -0.05454963991738
  -1   -2   -4      11   10    8       1    1      8.48956460889471  -0.05450440236948
   3    4    2       3    4    2       1    1      8.48956460889471  -0.05452431786197
   4    3    2       4    3    2       1    1      8.48956460889471  -0.05454963991738
  -4   -3   -2       8    9   10       1    1      8.48956460889471  -0.05454963991738
  -3   -4   -2       9    8   10       1    1      8.48956460889471  -0.05452431786197
   0    1   -3       0    1    9       1    1      8.60998998000000  -0.05559424079150
   0    3    3       0    3    3       1    1      8.60998998000000   0.07543888923394
   0    3   -1       0    3   11       1    1      8.60998998000000  -0.05558024142589
   0   -3    1       0    9    1       1    1      8.60998998000000  -0.05558024142589
   0   -3   -3       0    9    9       1    1      8.60998998000000   0.07543888923394
   0   -1    3       0   11    3       1    1      8.60998998000000  -0.05559424079150
   1    0   -3       1    0    9       1    1      8.60998998000000  -0.05558024142589
   1    1    4       1    1    4       1    1      8.60998998000000  -0.05557496713513
   1    4    1       1    4    1       1    1      8.60998998000000  -0.05559424079150
   1   -3    0       1    9    0       1    1      8.60998998000000  -0.05557496713513
   3    0    3       3    0    3       1    1      8.60998998000000   0.07543888923394
   3    0   -1       3    0   11       1    1      8.60998998000000  -0.05559424079150
   3    3    0       3    3    0       1    1      8.60998998000000   0.07573497099171
   3    3    4       3    3    4       1    1      8.60998998000000  -0.05557496713513
   3    4    3       3    4    3       1    1      8.60998998000000  -0.05558024142589
   3   -1    0       3   11    0       1    1      8.60998998000000  -0.05557496713513
   4    1    1       4    1    1       1    1      8.60998998000000  -0.05558024142589
   4    3    3       4    3    3       1    1      8.60998998000000  -0.05559424079150
  -4   -3   -3       8    9    9       1    1      8.60998998000000  -0.05559424079150
  -4   -1   -1       8   11   11       1    1      8.60998998000000  -0.05558024142589
  -3    0    1       9    0    1       1    1      8.60998998000000  -0.05559424079150
  -3    0   -3       9    0    9       1    1      8.60998998000000   0.07543888923394
  -3    1    0       9    1    0       1    1      8.60998998000000  -0.05557496713513
  -3   -4   -3       9    8    9       1    1      8.60998998000000  -0.05558024142589
  -3   -3    0       9    9    0       1    1      8.60998998000000   0.07573497099171
  -3   -3   -4       9    9    8       1    1      8.60998998000000  -0.05557496713513
  -1    0    3      11    0    3       1    1      8.60998998000000  -0.05558024142589
  -1    3    0      11    3    0       1    1      8.60998998000000  -0.05557496713513
  -1   -4   -1      11    8   11       1    1      8.60998998000000  -0.05559424079150
  -1   -1   -4      11   11    8       1    1      8.60998998000000  -0.05557496713513
   1    3    4       1    3    4       1    1      9.07572632267586  -0.15196122513776
   1    4    3       1    4    3       1    1      9.07572632267586  -0.15176696402566
   1   -3   -2       1    9   10       1    1      9.07572632267586  -0.15212482868055
   1   -2   -3       1   10    9       1    1      9.07572632267586  -0.15176696402566
   2    3   -1       2    3   11       1    1      9.07572632267586  -0.15196187288960
   2   -1    3       2   11    3       1    1      9.07572632267586  -0.15176696402566
   3    1    4       3    1    4       1    1      9.07572632267586  -0.15212482868055
   3    2   -1       3    2   11       1    1      9.07572632267586  -0.15196187288960
   3   -1    2       3   11    2       1    1      9.07572632267586  -0.15196122513776
   4    1    3       4    1    3       1    1      9.07572632267586  -0.15176696402566
  -4   -1   -3       8   11    9       1    1      9.07572632267586  -0.15176696402566
  -3    1   -2       9    1   10       1    1      9.07572632267586  -0.15196122513776
  -3   -2    1       9   10    1       1    1      9.07572632267586  -0.15196187288960
  -3   -1   -4       9   11    8       1    1      9.07572632267586  -0.15212482868055
  -2    1   -3      10    1    9       1    1      9.07572632267586  -0.15176696402566
  -2   -3    1      10    9    1       1    1      9.07572632267586  -0.15196187288960
  -1    2    3      11    2    3       1    1      9.07572632267586  -0.15176696402566
  -1    3    2      11    3    2       1    1      9.07572632267586  -0.15212482868055
  -1   -4   -3      11    8    9       1    1      9.07572632267586  -0.15176696402566
  -1   -3   -4      11    9    8       1    1      9.07572632267586  -0.15196122513776
   3    4    1       3    4    1       1    1      9.07572632267587  -0.15196187288960
   4    3    1       4    3    1       1    1      9.07572632267587  -0.15196187288960
  -4   -3   -1       8    9   11       1    1      9.07572632267587  -0.15196187288960
  -3   -4   -1       9    8   11       1    1      9.07572632267587  -0.15196187288960
   0    1    4       0    1    4       1    1      9.40991333145104   0.60661436735969
