  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   0    0    0       0    0    0       1    1      0.00000000000000 2324.09893349551658
   0    0    1       0    0    1       1    1      5.39353320000000   1.03391134868100
   0    0   -1       0    0    9       1    1      5.39353320000000   1.03391134868100
   1    1    0       1    1    0       1    1      5.39353380000000   1.03736478023316
  -1   -1    0       9    9    0       1    1      5.39353380000000   1.03736478023316
   0    1    0       0    1    0       1    1      7.14122267282199  -0.00045745303530
   0   -1    0       0    9    0       1    1      7.14122267282199  -0.00045745303530
   1    0    0       1    0    0       1    1      7.14122267282199  -0.00024401170768
  -1    0    0       9    0    0       1    1      7.14122267282199  -0.00024401170768
   1    1    1       1    1    1       1    1      7.62760822481364  -0.54021437638103
   1    1   -1       1    1    9       1    1      7.62760822481364  -0.54002312744301
  -1   -1    1       9    9    1       1    1      7.62760822481364  -0.54002312744301
  -1   -1   -1       9    9    9       1    1      7.62760822481364  -0.54021437638103
   0    1    1       0    1    1       1    1      8.94914865461118   0.00006903784494
   0    1   -1       0    1    9       1    1      8.94914865461118   0.00006907435911
   0   -1    1       0    9    1       1    1      8.94914865461118   0.00006907435911
   0   -1   -1       0    9    9       1    1      8.94914865461118   0.00006903784494
   1    0    1       1    0    1       1    1      8.94914865461118   0.00004530288997
   1    0   -1       1    0    9       1    1      8.94914865461118   0.00004510323680
  -1    0    1       9    0    1       1    1      8.94914865461118   0.00004510323680
  -1    0   -1       9    0    9       1    1      8.94914865461118   0.00004530288997
   1    2    0       1    2    0       1    1     10.44880256136136  -0.00025130706662
   2    1    0       2    1    0       1    1     10.44880256136136  -0.00022470544753
  -2   -1    0       8    9    0       1    1     10.44880256136136  -0.00022470544753
  -1   -2    0       9    8    0       1    1     10.44880256136136  -0.00025130706662
   0    0    2       0    0    2       1    1     10.78706640000000   0.01628907345833
   0    0   -2       0    0    8       1    1     10.78706640000000   0.01628907345833
   2    2    0       2    2    0       1    1     10.78706760000000   0.01611405669752
  -2   -2    0       8    8    0       1    1     10.78706760000000   0.01611405669752
   1    2    1       1    2    1       1    1     11.75872762444194  -0.00004670470524
   1    2   -1       1    2    9       1    1     11.75872762444194  -0.00004682715849
   2    1    1       2    1    1       1    1     11.75872762444194  -0.00003702874136
   2    1   -1       2    1    9       1    1     11.75872762444194  -0.00003713834757
  -2   -1    1       8    9    1       1    1     11.75872762444194  -0.00003713834757
  -2   -1   -1       8    9    9       1    1     11.75872762444194  -0.00003702874136
  -1   -2    1       9    8    1       1    1     11.75872762444194  -0.00004682715849
  -1   -2   -1       9    8    9       1    1     11.75872762444194  -0.00004670470524
   1    1    2       1    1    2       1    1     12.06030714243014   0.00228526278471
   1    1   -2       1    1    8       1    1     12.06030714243014   0.00228379420015
  -1   -1    2       9    9    2       1    1     12.06030714243014   0.00228379420015
  -1   -1   -2       9    9    8       1    1     12.06030714243014   0.00228526278471
   2    2    1       2    2    1       1    1     12.06030794741461   0.00243138056033
   2    2   -1       2    2    9       1    1     12.06030794741461   0.00242980281403
  -2   -2    1       8    8    1       1    1     12.06030794741461   0.00242980281403
  -2   -2   -1       8    8    9       1    1     12.06030794741461   0.00243138056033
   0    1    2       0    1    2       1    1     12.93668670026587   0.00000247205527
   0    1   -2       0    1    8       1    1     12.93668670026587   0.00000249095145
   0   -1    2       0    9    2       1    1     12.93668670026587   0.00000249095145
   0   -1   -2       0    9    8       1    1     12.93668670026587   0.00000247205527
   1    0    2       1    0    2       1    1     12.93668670026587   0.00000329548460
   1    0   -2       1    0    8       1    1     12.93668670026587   0.00000331666364
  -1    0    2       9    0    2       1    1     12.93668670026587   0.00000331666364
  -1    0   -2       9    0    8       1    1     12.93668670026587   0.00000329548460
   1   -1    0       1    9    0       1    1     13.22490220000000   0.00000540535300
  -1    1    0       9    1    0       1    1     13.22490220000000   0.00000540535300
   1   -1    1       1    9    1       1    1     14.28244511906372  -0.00000093923562
   1   -1   -1       1    9    9       1    1     14.28244511906372  -0.00000094253602
  -1    1    1       9    1    1       1    1     14.28244511906372  -0.00000094253602
  -1    1   -1       9    1    9       1    1     14.28244511906372  -0.00000093923562
   0    2    0       0    2    0       1    1     14.28244534564398  -0.00000191884473
   0   -2    0       0    8    0       1    1     14.28244534564398  -0.00000191884473
   2    0    0       2    0    0       1    1     14.28244534564398  -0.00000208615943
  -2    0    0       8    0    0       1    1     14.28244534564398  -0.00000208615943
   1    2    2       1    2    2       1    1     15.01793183112511  -0.00000554873387
   1    2   -2       1    2    8       1    1     15.01793183112511  -0.00000535378278
   2    1    2       2    1    2       1    1     15.01793183112511  -0.00001047420625
   2    1   -2       2    1    8       1    1     15.01793183112511  -0.00001028942661
  -2   -1    2       8    9    2       1    1     15.01793183112511  -0.00001028942661
  -2   -1   -2       8    9    8       1    1     15.01793183112511  -0.00001047420625
  -1   -2    2       9    8    2       1    1     15.01793183112511  -0.00000535378278
  -1   -2   -2       9    8    8       1    1     15.01793183112511  -0.00000554873387
   2    3    0       2    3    0       1    1     15.01793269306004  -0.00000537650566
   3    2    0       3    2    0       1    1     15.01793269306004  -0.00000662584736
  -3   -2    0       7    8    0       1    1     15.01793269306004  -0.00000662584736
  -2   -3    0       8    7    0       1    1     15.01793269306004  -0.00000537650566
   2    2    2       2    2    2       1    1     15.25521644962728  -0.00018789356878
   2    2   -2       2    2    8       1    1     15.25521644962728  -0.00018137627932
  -2   -2    2       8    8    2       1    1     15.25521644962728  -0.00018137627932
  -2   -2   -2       8    8    8       1    1     15.25521644962728  -0.00018789356878
   0    2    1       0    2    1       1    1     15.26690687175400  -0.00000176644408
   0    2   -1       0    2    9       1    1     15.26690687175400  -0.00000180584294
   0   -2    1       0    8    1       1    1     15.26690687175400  -0.00000180584294
   0   -2   -1       0    8    9       1    1     15.26690687175400  -0.00000176644408
   2    0    1       2    0    1       1    1     15.26690687175400  -0.00000216945282
   2    0   -1       2    0    9       1    1     15.26690687175400  -0.00000217046967
  -2    0    1       8    0    1       1    1     15.26690687175400  -0.00000217046967
  -2    0   -1       8    0    9       1    1     15.26690687175400  -0.00000216945282
   3    2    1       3    2    1       1    1     15.95708315303219   0.00000492630802
   3    2   -1       3    2    9       1    1     15.95708315303219   0.00000494647430
  -3   -2    1       7    8    1       1    1     15.95708315303219   0.00000494647430
  -3   -2   -1       7    8    9       1    1     15.95708315303219   0.00000492630802
   2    3    1       2    3    1       1    1     15.95708315303219   0.00000569520150
   2    3   -1       2    3    9       1    1     15.95708315303219   0.00000573002355
  -2   -3    1       8    7    1       1    1     15.95708315303219   0.00000573002355
  -2   -3   -1       8    7    9       1    1     15.95708315303219   0.00000569520150
   0    0    3       0    0    3       1    1     16.18059960000000  -0.00003158016853
   0    0   -3       0    0    7       1    1     16.18059960000000  -0.00003158016853
   3    3    0       3    3    0       1    1     16.18060140000000  -0.00008410824277
  -3   -3    0       7    7    0       1    1     16.18060140000000  -0.00008410824277
   1    1    3       1    1    3       1    1     17.05584973747314  -0.00012087658752
   1    1   -3       1    1    7       1    1     17.05584973747314  -0.00012071977071
  -1   -1    3       9    9    3       1    1     17.05584973747314  -0.00012071977071
  -1   -1   -3       9    9    7       1    1     17.05584973747314  -0.00012087658752
   3    3    1       3    3    1       1    1     17.05585125536642  -0.00016933406915
   3    3   -1       3    3    9       1    1     17.05585125536642  -0.00016910251409
  -3   -3    1       7    7    1       1    1     17.05585125536642  -0.00016910251409
  -3   -3   -1       7    7    9       1    1     17.05585125536642  -0.00016933406915
   1   -1    2       1    9    2       1    1     17.06630714939743  -0.00000023909904
   1   -1   -2       1    9    8       1    1     17.06630714939743  -0.00000023953245
  -1    1    2       9    1    2       1    1     17.06630714939743  -0.00000023953245
  -1    1   -2       9    1    8       1    1     17.06630714939743  -0.00000023909904
   1    3    0       1    3    0       1    1     17.06630790787904  -0.00000123791328
   3    1    0       3    1    0       1    1     17.06630790787904  -0.00000121139570
  -3   -1    0       7    9    0       1    1     17.06630790787904  -0.00000121139570
  -1   -3    0       9    7    0       1    1     17.06630790787904  -0.00000123791328
   0    1    3       0    1    3       1    1     17.68640338447439  -0.00000198305032
   0    1   -3       0    1    7       1    1     17.68640338447439  -0.00000197824579
   0   -1    3       0    9    3       1    1     17.68640338447439  -0.00000197824579
   0   -1   -3       0    9    7       1    1     17.68640338447439  -0.00000198305032
   1    0    3       1    0    3       1    1     17.68640338447439  -0.00000209503553
   1    0   -3       1    0    7       1    1     17.68640338447439  -0.00000209017078
  -1    0    3       9    0    3       1    1     17.68640338447439  -0.00000209017078
  -1    0   -3       9    0    7       1    1     17.68640338447439  -0.00000209503553
   0    2    2       0    2    2       1    1     17.89829730922236  -0.00000110566141
   0    2   -2       0    2    8       1    1     17.89829730922236  -0.00000110675944
   0   -2    2       0    8    2       1    1     17.89829730922236  -0.00000110675944
   0   -2   -2       0    8    8       1    1     17.89829730922236  -0.00000110566141
   2    0    2       2    0    2       1    1     17.89829730922236  -0.00000182807590
   2    0   -2       2    0    8       1    1     17.89829730922236  -0.00000182688853
  -2    0    2       8    0    2       1    1     17.89829730922236  -0.00000182688853
  -2    0   -2       8    0    8       1    1     17.89829730922236  -0.00000182807590
   3    1    1       3    1    1       1    1     17.89829785164044  -0.00000064327425
   3    1   -1       3    1    9       1    1     17.89829785164044  -0.00000064279940
  -3   -1    1       7    9    1       1    1     17.89829785164044  -0.00000064279940
  -3   -1   -1       7    9    9       1    1     17.89829785164044  -0.00000064327425
   1    3    1       1    3    1       1    1     17.89829785164044  -0.00000052882071
   1    3   -1       1    3    9       1    1     17.89829785164044  -0.00000052936924
  -1   -3    1       9    7    1       1    1     17.89829785164044  -0.00000052936924
  -1   -3   -1       9    7    9       1    1     17.89829785164044  -0.00000052882071
   2    3    2       2    3    2       1    1     18.49051388932418  -0.00000841681509
   2    3   -2       2    3    8       1    1     18.49051388932418  -0.00000862251390
   3    2    2       3    2    2       1    1     18.49051388932418  -0.00000737388963
   3    2   -2       3    2    8       1    1     18.49051388932418  -0.00000759366951
  -3   -2    2       7    8    2       1    1     18.49051388932418  -0.00000759366951
  -3   -2   -2       7    8    8       1    1     18.49051388932418  -0.00000737388963
  -2   -3    2       8    7    2       1    1     18.49051388932418  -0.00000862251390
  -2   -3   -2       8    7    8       1    1     18.49051388932418  -0.00000841681509
   1    2    3       1    2    3       1    1     19.26108196290727   0.00000164739434
   1    2   -3       1    2    7       1    1     19.26108196290727   0.00000149775962
   2    1    3       2    1    3       1    1     19.26108196290727   0.00000201867957
   2    1   -3       2    1    7       1    1     19.26108196290727   0.00000185722908
  -2   -1    3       8    9    3       1    1     19.26108196290727   0.00000185722908
  -2   -1   -3       8    9    7       1    1     19.26108196290727   0.00000201867957
  -1   -2    3       9    8    3       1    1     19.26108196290727   0.00000149775962
  -1   -2   -3       9    8    7       1    1     19.26108196290727   0.00000164739434
   2    2    3       2    2    3       1    1     19.44666117415763   0.00004967910794
   2    2   -3       2    2    7       1    1     19.44666117415763   0.00004447759275
  -2   -2    3       8    8    3       1    1     19.44666117415763   0.00004447759275
  -2   -2   -3       8    8    7       1    1     19.44666117415763   0.00004967910794
   3    3    2       3    3    2       1    1     19.44666200620793   0.00005348159798
   3    3   -2       3    3    8       1    1     19.44666200620793   0.00004809755277
  -3   -3    2       7    7    2       1    1     19.44666200620793   0.00004809755277
  -3   -3   -2       7    7    8       1    1     19.44666200620793   0.00005348159798
   3    4    0       3    4    0       1    1     20.00198848824127   0.00000003283278
   4    3    0       4    3    0       1    1     20.00198848824127   0.00000000794299
  -4   -3    0       6    7    0       1    1     20.00198848824127   0.00000000794299
  -3   -4    0       7    6    0       1    1     20.00198848824127   0.00000003283278
   1   -2    0       1    8    0       1    1     20.01981862210436   0.00000022575077
   2   -1    0       2    9    0       1    1     20.01981862210436   0.00000021626759
  -2    1    0       8    1    0       1    1     20.01981862210436   0.00000021626759
  -1    2    0       9    2    0       1    1     20.01981862210436   0.00000022575077
   3    1    2       3    1    2       1    1     20.18959304009230   0.00000026822514
