[-0.22096349155360878 0.0 0.034062262436696356 -0.0; -0.0 0.17052848990504546 -0.0 0.03405524174573604; 0.034062276667893576 0.0 0.17051883047367247 -0.0; -0.0 0.03405525596196707 -0.0 -0.22093208368001716]	[-0.0024352696634139387 -0.0 0.00040859797331076024 -0.0; -0.0 -0.002381252490240824 -0.0 0.00040932008341409764; 0.00039674785775513827 -0.0 -0.0023801616685480177 -0.0; -0.0 0.0003974698149996291 -0.0 -0.0024384251093475043]
[-0.2207898232436199 0.0 0.034026491648540935 -0.0; -0.0 0.17042619076864307 -0.0 0.03401908786205082; 0.03402653432382152 0.0 0.1704159994669259 -0.0; -0.0 0.03401913049324756 -0.0 -0.22075661680798403]	[-0.007299361899058623 -0.0 0.0012126562763034394 -0.0; -0.0 -0.007137597967626946 -0.0 0.0012147796556639836; 0.0012008042097364595 -0.0 -0.007134382172644921 -0.0; -0.0 0.0012029274290337299 -0.0 -0.007308627741528392]
[-0.22044352610337287 0.0 0.03395523254001981 -0.0; -0.0 0.17022197543018747 -0.0 0.03394708168891997; 0.03395530360442656 0.0 0.17021074606688072 -0.0; -0.0 0.03394715268253573 -0.0 -0.2204068111460109]	[-0.01214418146485663 -0.0 0.00201286659763855 -0.0; -0.0 -0.01187553109191597 -0.0 0.0020162651696386353; 0.0020010106419818628 -0.0 -0.011870357244132546 -0.0; -0.0 0.002004409039876597 -0.0 -0.012158966726540543]
[-0.21992666123896543 -0.0 0.03384901605660734 -0.0; -0.0 0.16991660775709766 -0.0 0.03383979125426062; 0.03384911541848157 -0.0 0.1699038839391242 -0.0; -0.0 0.03383989052250547 -0.0 -0.21988489973828473]	[-0.01695710689814678 -0.0 0.00280671766909441 0.0; 0.0 -0.016582995704313847 -0.0 0.0028111888822757725; 0.002794855911893439 -0.0 -0.01657613194723903 0.0; -0.0 0.0027993269307981018 -0.0 -0.016976460914354896]
[-0.21924227628951432 -0.0 0.03370862505482031 -0.0; -0.0 0.16951122843531682 -0.0 0.03369805213987531; 0.033708752585728086 -0.0 0.16949662468802362 -0.0; -0.0 0.0336981795594265 -0.0 -0.21919417538872615]	[-0.021725851354816528 -0.0 0.0035917786002080637 0.0; 0.0 -0.02124825763911864 -0.0 0.0035970542142642614; 0.0035799091668474296 -0.0 -0.02124005907029916 0.0; -0.0 0.003585184561327424 -0.0 -0.021748512729866998]
[-0.2183943542854721 -0.0 0.03353507864325933 -0.0; -0.0 0.16900734853061922 -0.0 0.03352294862338262; 0.033535234177921036 -0.0 0.1689905672159404 -0.0; -0.0 0.03352310403504033 -0.0 -0.21833892537119093]	[-0.02643858500885482 -0.0 0.004365727755272235 0.0; 0.0 -0.025860021621256557 -0.0 0.0043714878370666455; 0.004353848820500933 -0.0 -0.025850911848495084 0.0; -0.0 0.004359608653520187 -0.0 -0.026463045417846942]
[-0.21738774816168865 -0.0 0.03332961226854658 -0.0; -0.0 0.16840684044446386 -0.0 0.033315789929159234; 0.03332979560481675 -0.0 0.16838768360492384 -0.0; -0.0 0.03331597313750506 -0.0 -0.21732434885151697]	[-0.031084046607608218 -0.0 0.005126378557272789 0.0; 0.0 -0.03040753702580068 -0.0 0.005132267714160588; 0.005114488355844624 -0.0 -0.03039798686853956 0.0; -0.0 0.005120377232238264 -0.0 -0.031108625240327537]
[-0.21622810304544915 -0.0 0.03309365429267952 -0.0; -0.0 0.1677119259584666 -0.0 0.03307808263901141; 0.033093865191599736 -0.0 0.1676903016096736 -0.0; -0.0 0.03307829341212287 -0.0 -0.21615646041852798]	[-0.03565164189995185 -0.0 0.0058717016133569425 0.0; 0.0 -0.03488069031355179 -0.0 0.005877346382040016; 0.005859798449634145 -0.0 -0.03487119509075737 0.0; -0.0 0.005865442905028715 -0.0 -0.0356745658288225]
[-0.21492176874531754 -0.0 0.03282879990358889 -0.0; -0.0 0.16692516109190828 -0.0 0.03281150041587305; 0.03282903808956206 -0.0 0.16690108390321032 -0.0; -0.0 0.032811738485167996 -0.0 -0.21484198348007283]	[-0.040131527189706306 -0.0 0.0065998427310000884 0.0; -0.0 -0.03927008256934583 -0.0 0.006604869027242721; 0.00658792498739001 -0.0 -0.03926113940828596 -0.0; -0.0 0.006592950937904953 -0.0 -0.04015101282441336]
[-0.21347570504921975 -0.0 0.0325367832478925 -0.0; -0.0 0.16604941758435254 -0.0 0.03251785221803666; 0.03253704840902244 -0.0 0.16602300428105735 -0.0; -0.0 0.03251811727829351 -0.0 -0.2133882373935969]	[-0.04451467684487098 -0.0 0.007309136578357141 0.0; -0.0 -0.043567091204753994 -0.0 0.0073131861897669515; 0.0072972027224949805 -0.0 -0.04355917768493922 -0.0; -0.0 0.007301251957434558 -0.0 -0.04452900789319669]
