               kpt            disp_1            disp_2
        0.00000000     -472.00986535      472.00942771
        0.00339831     -471.99047512      471.99003748
        0.00679661     -471.93230565      471.93186801
        0.01019492     -471.83536055      471.83492291
        0.01359322     -471.69964587      471.69920823
        0.01699153     -471.52517009      471.52473244
        0.02038983     -471.31194407      471.31150642
        0.02378814     -471.05998114      471.05954349
        0.02718644     -470.76929704      470.76885939
        0.03058475     -470.43990994      470.43947229
        0.03398305     -470.07184047      470.07140281
        0.03738136     -469.66511167      469.66467401
        0.04077966     -469.21974906      469.21931140
        0.04417797     -468.73578062      468.73534295
        0.04757627     -468.21323678      468.21279910
        0.05097458     -467.65215044      467.65171277
        0.05437288     -467.05255701      467.05211933
        0.05777119     -466.41449438      466.41405669
        0.06116949     -465.73800292      465.73756523
        0.06456780     -465.02312555      465.02268785
        0.06796610     -464.26990769      464.26946998
        0.07136441     -463.47839729      463.47795958
        0.07476271     -462.64864487      462.64820715
        0.07816102     -461.78070350      461.78026577
        0.08155932     -460.87462880      460.87419106
        0.08495763     -459.93047900      459.93004125
        0.08835593     -458.94831490      458.94787715
        0.09175424     -457.92819995      457.92776219
        0.09515255     -456.87020018      456.86976241
        0.09855085     -455.77438427      455.77394650
        0.10194916     -454.64082357      454.64038578
        0.10534746     -453.46959206      453.46915427
        0.10874577     -452.26076643      452.26032863
        0.11214407     -451.01442605      451.01398824
        0.11554238     -449.73065298      449.73021516
        0.11894068     -448.40953201      448.40909419
        0.12233899     -447.05115069      447.05071285
        0.12573729     -445.65559927      445.65516143
        0.12913560     -444.22297081      444.22253295
        0.13253390     -442.75336110      442.75292323
        0.13593221     -441.24686875      441.24643088
        0.13933051     -439.70359517      439.70315728
        0.14272882     -438.12364456      438.12320666
        0.14612712     -436.50712398      436.50668607
        0.14952543     -434.85414330      434.85370538
        0.15292373     -433.16481527      433.16437734
        0.15632204     -431.43925549      431.43881755
        0.15972034     -429.67758244      429.67714449
        0.16311865     -427.87991749      427.87947953
        0.16651695     -426.04638489      426.04594692
        0.16991526     -424.17711182      424.17667384
        0.17331356     -422.27222837      422.27179038
        0.17671187     -420.33186757      420.33142957
        0.18011018     -418.35616537      418.35572735
        0.18350848     -416.34526067      416.34482264
        0.18690679     -414.29929533      414.29885729
        0.19030509     -412.21841417      412.21797612
        0.19370340     -410.10276497      410.10232692
        0.19710170     -407.95249851      407.95206044
        0.20050001     -405.76776852      405.76733045
        0.20389831     -403.54873175      403.54829366
        0.20729662     -401.29554791      401.29510982
        0.21069492     -399.00837974      399.00794163
        0.21409323     -396.68739294      396.68695483
        0.21749153     -394.33275626      394.33231814
        0.22088984     -391.94464143      391.94420330
        0.22428814     -389.52322320      389.52278505
        0.22768645     -387.06867932      387.06824117
        0.23108475     -384.58119057      384.58075241
        0.23448306     -382.06094074      382.06050256
        0.23788136     -379.50811662      379.50767844
        0.24127967     -376.92290803      376.92246984
        0.24467797     -374.30550780      374.30506960
        0.24807628     -371.65611177      371.65567356
        0.25147458     -368.97491879      368.97448058
        0.25487289     -366.26213073      366.26169251
        0.25827119     -363.51795244      363.51751421
        0.26166950     -360.74259180      360.74215356
        0.26506780     -357.93625968      357.93582143
        0.26846611     -355.09916992      355.09873167
        0.27186442     -352.23153940      352.23110114
        0.27526272     -349.33358794      349.33314967
        0.27866103     -346.40553835      346.40510008
        0.28205933     -343.44761643      343.44717816
        0.28545764     -340.46005094      340.45961266
        0.28885594     -337.44307359      337.44263530
        0.29225425     -334.39691904      334.39648075
        0.29565255     -331.32182492      331.32138662
        0.29905086     -328.21803178      328.21759347
        0.30244916     -325.08578309      325.08534477
        0.30584747     -321.92532525      321.92488693
        0.30924577     -318.73690758      318.73646926
        0.31264408     -315.52078229      315.52034396
        0.31604238     -312.27720447      312.27676614
        0.31944069     -309.00643212      309.00599379
        0.32283899     -305.70872608      305.70828774
        0.32623730     -302.38435005      302.38391171
        0.32963560     -299.03357060      299.03313226
        0.33303391     -295.65665711      295.65621877
        0.33643221     -292.25388180      292.25344345
        0.33983052     -288.82551967      288.82508132
        0.34322882     -285.37184855      285.37141019
        0.34662713     -281.89314902      281.89271066
        0.35002543     -278.38970444      278.38926608
        0.35342374     -274.86180093      274.86136257
        0.35682204     -271.30972734      271.30928898
        0.36022035     -267.73377523      267.73333687
        0.36361866     -264.13423888      264.13380051
        0.36701696     -260.51141524      260.51097687
        0.37041527     -256.86560395      256.86516558
        0.37381357     -253.19710728      253.19666892
        0.37721188     -249.50623017      249.50579180
        0.38061018     -245.79328014      245.79284177
        0.38400849     -242.05856731      242.05812894
        0.38740679     -238.30240440      238.30196603
        0.39080510     -234.52510666      234.52466829
        0.39420340     -230.72699189      230.72655352
        0.39760171     -226.90838038      226.90794201
        0.40100001     -223.06959492      223.06915656
        0.40439832     -219.21096079      219.21052242
        0.40779662     -215.33280567      215.33236730
        0.41119493     -211.43545968      211.43502131
        0.41459323     -207.51925532      207.51881696
        0.41799154     -203.58452747      203.58408911
        0.42138984     -199.63161333      199.63117497
        0.42478815     -195.66085242      195.66041406
        0.42818645     -191.67258654      191.67214818
        0.43158476     -187.66715973      187.66672137
        0.43498306     -183.64491827      183.64447991
        0.43838137     -179.60621061      179.60577225
        0.44177967     -175.55138737      175.55094901
        0.44517798     -171.48080129      171.48036293
        0.44857629     -167.39480720      167.39436885
        0.45197459     -163.29376199      163.29332363
        0.45537290     -159.17802456      159.17758621
        0.45877120     -155.04795580      155.04751745
        0.46216951     -150.90391856      150.90348021
        0.46556781     -146.74627756      146.74583922
        0.46896612     -142.57539944      142.57496110
        0.47236442     -138.39165261      138.39121427
        0.47576273     -134.19540732      134.19496898
        0.47916103     -129.98703552      129.98659719
        0.48255934     -125.76691090      125.76647256
        0.48595764     -121.53540876      121.53497043
        0.48935595     -117.29290607      117.29246774
        0.49275425     -113.03978131      113.03934298
        0.49615256     -108.77641452      108.77597620
        0.49955086     -104.50318720      104.50274887
        0.50294917     -100.22048225      100.22004392
        0.50634747      -95.92868398       95.92824565
        0.50974578      -91.62817800       91.62773968
        0.51314408      -87.31935120       87.31891288
        0.51654239      -83.00259168       83.00215337
        0.51994069      -78.67828874       78.67785042
        0.52333900      -74.34683275       74.34639444
        0.52673730      -70.00861518       70.00817686
        0.53013561      -65.66402847       65.66359016
        0.53353391      -61.31346604       61.31302773
        0.53693222      -56.95732218       56.95688387
        0.54033053      -52.59599205       52.59555374
        0.54372883      -48.22987154       48.22943323
        0.54712714      -43.85935731       43.85891900
        0.55052544      -39.48484666       39.48440835
        0.55392375      -35.10673750       35.10629919
        0.55732205      -30.72542828       30.72498997
        0.56072036      -26.34131794       26.34087963
        0.56411866      -21.95480585       21.95436754
        0.56751697      -17.56629174       17.56585344
        0.57091527      -13.17617565       13.17573735
        0.57431358       -8.78485786        8.78441955
        0.57771188       -4.39273883        4.39230053
        0.58111019       -0.00043827       -0.00000004
        0.58450849       -4.39049596        4.39005765
        0.58790680       -8.78033135        8.77989304
        0.59130510      -13.16928404       13.16884573
        0.59470341      -17.55691296       17.55647466
        0.59810171      -21.94277740       21.94233909
        0.60150002      -26.32643709       26.32599878
        0.60489832      -30.70745234       30.70701403
        0.60829663      -35.08538415       35.08494584
        0.61169493      -39.45979430       39.45935599
        0.61509324      -43.83024549       43.82980718
        0.61849154      -48.19630144       48.19586313
        0.62188985      -52.55752699       52.55708868
        0.62528815      -56.91348822       56.91304991
        0.62868646      -61.26375254       61.26331423
        0.63208477      -65.60788881       65.60745050
        0.63548307      -69.94546745       69.94502913
        0.63888138      -74.27606051       74.27562219
        0.64227968      -78.59924181       78.59880349
        0.64567799      -82.91458702       82.91414869
        0.64907629      -87.22167373       87.22123540
        0.65247460      -91.52008160       91.51964326
        0.65587290      -95.80939242       95.80895408
        0.65927121     -100.08919019      100.08875185
        0.66266951     -104.35906125      104.35862290
        0.66606782     -108.61859432      108.61815597
        0.66946612     -112.86738064      112.86694228
        0.67286443     -117.10501399      117.10457562
        0.67626273     -121.33109083      121.33065245
        0.67966104     -125.54521035      125.54477197
        0.68305934     -129.74697458      129.74653619
        0.68645765     -133.93598841      133.93555001
        0.68985595     -138.11185973      138.11142132
        0.69325426     -142.27419946      142.27376104
        0.69665256     -146.42262166      146.42218323
        0.70005087     -150.55674357      150.55630513
        0.70344917     -154.67618571      154.67574725
        0.70684748     -158.78057191      158.78013344
        0.71024578     -162.86952942      162.86909094
        0.71364409     -166.94268898      166.94225048
        0.71704240     -170.99968483      170.99924632
        0.72044070     -175.04015486      175.03971633
        0.72383901     -179.06374061      179.06330206
        0.72723731     -183.07008736      183.06964879
        0.73063562     -187.05884419      187.05840560
        0.73403392     -191.02966406      191.02922545
        0.73743223     -194.98220387      194.98176523
        0.74083053     -198.91612449      198.91568583
        0.74422884     -202.83109087      202.83065218
        0.74762714     -206.72677209      206.72633337
        0.75102545     -210.60284140      210.60240266
        0.75442375     -214.45897633      214.45853756
        0.75782206     -218.29485870      218.29441990
        0.76122036     -222.11017473      222.10973590
        0.76461867     -225.90461508      225.90417621
        0.76801697     -229.67787491      229.67743601
        0.77141528     -233.42965398      233.42921504
        0.77481358     -237.15965666      237.15921767
        0.77821189     -240.86759203      240.86715301
        0.78161019     -244.55317396      244.55273489
        0.78500850     -248.21612112      248.21568201
        0.78840680     -251.85615711      251.85571795
        0.79180511     -255.47301048      255.47257127
        0.79520341     -259.06641480      259.06597554
        0.79860172     -262.63610874      262.63566942
        0.80200002     -266.18183612      266.18139676
        0.80539833     -269.70334601      269.70290659
        0.80879664     -273.20039273      273.19995325
        0.81219494     -276.67273597      276.67229642
        0.81559325     -280.12014081      280.11970121
        0.81899155     -283.54237784      283.54193817
        0.82238986     -286.93922315      286.93878341
        0.82578816     -290.31045844      290.31001863
        0.82918647     -293.65587107      293.65543119
        0.83258477     -296.97525411      296.97481415
        0.83598308     -300.26840640      300.26796637
        0.83938138     -303.53513260      303.53469249
        0.84277969     -306.77524327      306.77480307
        0.84617799     -309.98855488      309.98811460
        0.84957630     -313.17488990      313.17444953
        0.85297460     -316.33407683      316.33363636
        0.85637291     -319.46595024      319.46550969
        0.85977121     -322.57035086      322.56991021
        0.86316952     -325.64712554      325.64668480
        0.86656782     -328.69612739      328.69568654
        0.86996613     -331.71721572      331.71677477
        0.87336443     -334.71025615      334.70981510
        0.87676274     -337.67512062      337.67467946
        0.88016104     -340.61168741      340.61124613
        0.88355935     -343.51984116      343.51939977
        0.88695765     -346.39947294      346.39903143
        0.89035596     -349.25048021      349.25003858
        0.89375426     -352.07276690      352.07232514
        0.89715257     -354.86624337      354.86580149
        0.90055088     -357.63082646      357.63038445
        0.90394918     -360.36643951      360.36599737
        0.90734749     -363.07301232      363.07257004
        0.91074579     -365.75048119      365.75003878
        0.91414410     -368.39878893      368.39834638
        0.91754240     -371.01788482      371.01744212
        0.92094071     -373.60772464      373.60728179
        0.92433901     -376.16827063      376.16782763
        0.92773732     -378.69949152      378.69904837
        0.93113562     -381.20136249      381.20091918
        0.93453393     -383.67386514      383.67342167
        0.93793223     -386.11698750      386.11654388
        0.94133054     -388.53072400      388.53028021
        0.94472884     -390.91507544      390.91463148
        0.94812715     -393.27004894      393.26960482
        0.95152545     -395.59565797      395.59521367
        0.95492376     -397.89192224      397.89147777
        0.95832206     -400.15886774      400.15842308
        0.96172037     -402.39652663      402.39608179
        0.96511867     -404.60493727      404.60449224
        0.96851698     -406.78414412      406.78369890
        0.97191528     -408.93419772      408.93375232
        0.97531359     -411.05515467      411.05470908
        0.97871189     -413.14707752      413.14663173
        0.98211020     -415.21003477      415.20958878
        0.98550851     -417.24410080      417.24365461
        0.98890681     -419.24935582      419.24890942
        0.99230512     -421.22588578      421.22543918
        0.99570342     -423.17378240      423.17333558
        0.99910173     -425.09314300      425.09269597
        1.00250003     -426.98407051      426.98362326
        1.00589834     -428.84667341      428.84622594
        1.00929664     -430.68106560      430.68061792
        1.01269495     -432.48736643      432.48691853
        1.01609325     -434.26570056      434.26525242
        1.01949156     -436.01619789      436.01574953
        1.02288986     -437.73899356      437.73854497
        1.02628817     -439.43422779      439.43377897
        1.02968647     -441.10204589      441.10159683
        1.03308478     -442.74259812      442.74214882
        1.03648308     -444.35603963      444.35559009
        1.03988139     -445.94253043      445.94208065
        1.04327969     -447.50223525      447.50178522
        1.04667800     -449.03532348      449.03487321
        1.05007630     -450.54196911      450.54151860
        1.05347461     -452.02235064      452.02189987
        1.05687291     -453.47665096      453.47619994
        1.06027122     -454.90505730      454.90460603
        1.06366952     -456.30776115      456.30730963
        1.06706783     -457.68495815      457.68450637
        1.07046613     -459.03684799      459.03639595
        1.07386444     -460.36363434      460.36318204
        1.07726275     -461.66552476      461.66507220
        1.08066105     -462.94273058      462.94227776
        1.08405936     -464.19546682      464.19501374
        1.08745766     -465.42395208      465.42349874
        1.09085597     -466.62840845      466.62795485
        1.09425427     -467.80906141      467.80860754
        1.09765258     -468.96613970      468.96568556
        1.10105088     -470.09987524      470.09942083
        1.10444919     -471.21050299      471.21004831
        1.10784749     -472.29826088      472.29780594
        1.11124580     -473.36338967      473.36293446
        1.11464410     -474.40613284      474.40567736
        1.11804241     -475.42673647      475.42628072
        1.12144071     -476.42544912      476.42499309
        1.12483902     -477.40252171      477.40206541
        1.12823732     -478.35820741      478.35775084
        1.13163563     -479.29276148      479.29230464
        1.13503393     -480.20644120      480.20598409
        1.13843224     -481.09950568      481.09904830
        1.14183054     -481.97221575      481.97175810
        1.14522885     -482.82483384      482.82437592
        1.14862715     -483.65762385      483.65716566
        1.15202546     -484.47085097      484.47039251
        1.15542376     -485.26478159      485.26432286
        1.15882207     -486.03968315      486.03922415
        1.16222037     -486.79582395      486.79536468
        1.16561868     -487.53347309      487.53301355
        1.16901699     -488.25290025      488.25244045
        1.17241529     -488.95437560      488.95391554
        1.17581360     -489.63816962      489.63770929
        1.17921190     -490.30455295      490.30409236
        1.18261021     -490.95379628      490.95333543
        1.18600851     -491.58617014      491.58570903
        1.18940682     -492.20194481      492.20148344
        1.19280512     -492.80139014      492.80092852
        1.19620343     -493.38477540      493.38431352
        1.19960173     -493.95236913      493.95190700
        1.20300004     -494.50443899      494.50397661
        1.20639834     -495.04125162      495.04078899
        1.20979665     -495.56307246      495.56260959
        1.21319495     -496.07016565      496.06970253
        1.21659326     -496.56279382      496.56233046
        1.21999156     -497.04121798      497.04075437
